age,job,marital,education,default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome
37,management,divorced,tertiary,no,yes,no,unknown,jun,5,227,1,-1,0,unknown
28,technician,single,secondary,no,no,no,telephone,may,18,40,8,349,6,failure
30,technician,single,secondary,no,yes,no,unknown,may,7,614,2,-1,0,unknown
33,blue-collar,married,primary,no,yes,no,unknown,may,15,270,1,-1,0,unknown
55,unknown,married,primary,no,no,no,unknown,sep,4,15,1,-1,0,unknown
33,blue-collar,married,secondary,no,yes,no,unknown,may,23,304,2,-1,0,unknown
42,blue-collar,married,secondary,no,yes,no,cellular,may,11,79,3,-1,0,unknown
37,management,married,tertiary,no,yes,no,cellular,jun,3,101,1,-1,0,unknown
59,blue-collar,married,primary,no,yes,no,unknown,may,5,55,3,-1,0,unknown
27,blue-collar,single,secondary,no,yes,no,unknown,may,19,205,3,-1,0,unknown
23,student,married,tertiary,yes,yes,no,cellular,may,18,259,2,-1,0,unknown
51,management,divorced,tertiary,no,no,no,cellular,aug,13,60,2,-1,0,unknown
50,blue-collar,married,primary,no,yes,no,cellular,apr,20,122,2,-1,0,unknown
43,technician,married,secondary,no,yes,no,cellular,jul,14,557,5,-1,0,unknown
37,blue-collar,divorced,primary,no,yes,no,telephone,may,11,42,1,-1,0,unknown
34,management,single,tertiary,no,yes,no,cellular,aug,28,373,8,-1,0,unknown
41,management,married,tertiary,no,yes,no,cellular,jul,14,80,3,-1,0,unknown
26,student,single,secondary,no,no,no,cellular,may,7,239,3,-1,0,unknown
49,management,divorced,tertiary,no,no,no,unknown,jun,8,29,1,-1,0,unknown
29,blue-collar,single,secondary,no,yes,no,unknown,jun,20,1663,1,-1,0,unknown
30,management,single,tertiary,no,yes,no,unknown,may,20,186,4,-1,0,unknown
38,services,divorced,secondary,no,no,no,unknown,jun,6,430,1,-1,0,unknown
58,management,married,secondary,no,no,no,telephone,mar,24,58,2,-1,0,unknown
34,student,single,unknown,no,no,no,cellular,aug,25,279,1,117,1,failure
53,services,divorced,unknown,no,yes,no,cellular,jul,28,332,2,-1,0,unknown
50,management,married,tertiary,no,no,no,cellular,aug,5,510,2,2,5,other
30,blue-collar,single,secondary,no,yes,no,cellular,apr,16,218,1,330,2,failure
40,management,married,secondary,no,yes,no,cellular,apr,17,74,2,256,1,failure
57,housemaid,single,secondary,no,no,no,cellular,oct,8,676,1,-1,0,unknown
40,management,married,tertiary,no,yes,no,cellular,may,15,1259,2,333,18,failure
41,technician,married,secondary,no,yes,yes,cellular,nov,21,285,3,116,4,failure
53,technician,divorced,unknown,no,yes,no,cellular,may,8,298,1,-1,0,unknown
48,blue-collar,married,secondary,no,yes,yes,cellular,jul,30,225,4,-1,0,unknown
32,technician,single,secondary,no,yes,no,cellular,may,13,80,2,268,2,other
34,management,married,tertiary,no,yes,no,cellular,apr,14,342,1,-1,0,unknown
46,blue-collar,married,secondary,no,yes,no,cellular,jul,28,404,3,-1,0,unknown
45,services,divorced,secondary,no,no,yes,cellular,jul,7,332,1,-1,0,unknown
51,admin.,single,tertiary,no,yes,no,cellular,jan,30,158,1,-1,0,unknown
31,management,married,secondary,no,yes,no,cellular,may,14,164,1,-1,0,unknown
47,technician,married,secondary,no,yes,no,cellular,feb,4,57,1,247,1,other
32,blue-collar,married,secondary,no,no,no,cellular,may,12,121,1,-1,0,unknown
41,technician,married,secondary,no,yes,no,cellular,may,7,56,1,-1,0,unknown
37,services,single,secondary,no,no,no,unknown,jul,3,178,1,-1,0,unknown
27,blue-collar,single,primary,no,no,no,cellular,jan,29,283,1,-1,0,unknown
27,services,married,secondary,no,yes,no,cellular,may,7,113,1,337,2,other
50,management,married,secondary,yes,no,no,cellular,nov,20,22,5,-1,0,unknown
31,management,single,tertiary,no,yes,no,cellular,feb,2,159,2,271,1,failure
40,self-employed,married,tertiary,no,no,no,cellular,oct,15,138,1,136,8,other
43,management,married,tertiary,no,yes,no,cellular,nov,19,1015,1,198,2,other
39,technician,married,tertiary,no,no,no,telephone,feb,2,182,1,-1,0,unknown
31,entrepreneur,single,tertiary,no,no,no,cellular,feb,4,112,3,-1,0,unknown
48,technician,married,secondary,no,yes,no,cellular,jul,10,114,1,-1,0,unknown
32,blue-collar,single,primary,no,no,yes,cellular,jul,29,80,8,-1,0,unknown
47,unemployed,married,primary,no,yes,no,telephone,jan,30,66,1,241,1,other
35,management,single,tertiary,no,yes,no,cellular,aug,26,135,22,-1,0,unknown
42,management,single,tertiary,no,no,no,cellular,sep,7,99,1,-1,0,unknown
47,blue-collar,married,secondary,no,no,no,unknown,jun,5,761,2,-1,0,unknown
59,retired,married,secondary,no,no,no,cellular,jul,24,464,1,-1,0,unknown
38,admin.,married,secondary,no,yes,no,unknown,jun,20,20,2,-1,0,unknown
50,unemployed,married,secondary,no,no,no,cellular,jul,29,206,4,-1,0,unknown
27,services,single,secondary,no,no,no,cellular,jul,8,283,2,-1,0,unknown
55,housemaid,married,primary,no,no,no,unknown,jun,20,64,1,-1,0,unknown
39,services,single,secondary,no,yes,no,cellular,may,15,667,3,357,3,other
31,technician,single,tertiary,no,no,no,cellular,feb,4,73,3,-1,0,unknown
37,entrepreneur,married,tertiary,no,yes,no,unknown,may,20,156,2,-1,0,unknown
28,technician,single,secondary,yes,yes,no,unknown,jun,3,559,7,-1,0,unknown
42,technician,married,secondary,no,no,no,cellular,aug,20,143,2,-1,0,unknown
40,services,divorced,secondary,no,yes,no,unknown,may,15,62,1,-1,0,unknown
59,management,single,secondary,no,yes,yes,cellular,jan,29,219,2,259,5,failure
40,services,single,secondary,no,yes,no,cellular,may,15,15,3,-1,0,unknown
43,technician,married,secondary,no,yes,no,cellular,apr,16,567,1,-1,0,unknown
38,technician,single,secondary,no,yes,no,cellular,jul,29,188,2,-1,0,unknown
54,retired,married,primary,no,yes,no,cellular,jul,11,159,2,-1,0,unknown
41,blue-collar,married,secondary,no,yes,no,telephone,jul,31,121,2,-1,0,unknown
55,housemaid,divorced,primary,no,no,no,cellular,jun,28,345,1,94,3,other
33,management,married,tertiary,no,no,no,unknown,may,20,717,1,-1,0,unknown
46,blue-collar,married,secondary,no,no,no,cellular,aug,18,71,3,-1,0,unknown
36,management,married,secondary,no,no,no,cellular,nov,18,144,2,-1,0,unknown
48,technician,divorced,tertiary,no,no,yes,cellular,jul,22,38,1,-1,0,unknown
42,management,married,secondary,no,yes,no,cellular,aug,28,60,2,-1,0,unknown
46,management,divorced,tertiary,no,no,no,cellular,sep,17,336,2,183,2,success
49,technician,married,secondary,yes,yes,yes,unknown,jun,27,92,4,-1,0,unknown
36,blue-collar,married,secondary,no,no,no,cellular,may,11,254,2,353,1,failure
34,technician,single,tertiary,no,yes,yes,cellular,oct,14,104,1,85,19,failure
51,entrepreneur,divorced,tertiary,no,yes,yes,cellular,apr,20,74,5,-1,0,unknown
58,blue-collar,married,primary,no,no,no,cellular,aug,19,156,2,-1,0,unknown
48,management,married,tertiary,no,no,no,cellular,jan,29,146,2,-1,0,unknown
41,admin.,single,secondary,no,yes,no,unknown,may,19,882,1,-1,0,unknown
49,self-employed,married,primary,no,yes,no,unknown,may,27,84,4,-1,0,unknown
43,management,married,primary,no,yes,no,unknown,may,19,114,2,-1,0,unknown
32,blue-collar,single,secondary,no,no,yes,unknown,jul,2,957,3,-1,0,unknown
54,retired,married,secondary,no,no,no,unknown,jun,11,67,3,-1,0,unknown
33,blue-collar,divorced,primary,no,yes,no,cellular,jul,9,211,11,-1,0,unknown
35,technician,married,secondary,no,yes,no,cellular,aug,19,299,2,-1,0,unknown
56,technician,married,secondary,no,yes,yes,cellular,may,11,102,6,349,1,failure
57,technician,married,secondary,no,no,yes,unknown,may,5,225,1,-1,0,unknown
31,housemaid,single,primary,no,no,no,cellular,apr,21,654,2,-1,0,unknown
33,technician,single,secondary,no,yes,no,cellular,may,14,234,2,-1,0,unknown
29,technician,single,tertiary,no,no,no,telephone,jul,24,48,6,-1,0,unknown
38,management,single,tertiary,no,yes,no,cellular,may,13,167,1,174,7,other
37,admin.,married,secondary,no,no,no,cellular,may,26,500,2,-1,0,unknown
33,entrepreneur,married,tertiary,no,no,no,cellular,aug,7,22,2,-1,0,unknown
30,management,single,tertiary,no,no,no,cellular,nov,19,258,2,-1,0,unknown
31,self-employed,single,secondary,no,no,yes,cellular,nov,19,177,1,-1,0,unknown
28,technician,single,tertiary,no,yes,yes,unknown,may,28,62,2,-1,0,unknown
26,admin.,single,secondary,no,no,no,cellular,apr,30,457,1,80,1,success
31,technician,single,secondary,no,yes,no,telephone,apr,17,460,2,345,2,failure
50,housemaid,divorced,primary,no,yes,no,cellular,jul,22,184,4,-1,0,unknown
45,entrepreneur,married,primary,no,yes,no,telephone,may,13,119,3,371,3,failure
48,management,married,primary,no,no,no,cellular,mar,5,77,6,-1,0,unknown
41,technician,married,secondary,no,no,yes,cellular,jul,23,107,1,-1,0,unknown
60,technician,married,primary,no,yes,no,unknown,may,9,1028,2,-1,0,unknown
41,blue-collar,married,secondary,no,yes,no,unknown,may,14,87,1,-1,0,unknown
43,blue-collar,married,primary,no,yes,no,unknown,may,9,315,4,-1,0,unknown
36,management,married,tertiary,no,yes,yes,cellular,nov,19,107,2,-1,0,unknown
40,blue-collar,married,primary,no,no,yes,telephone,jul,16,201,5,-1,0,unknown
28,management,single,tertiary,no,no,yes,cellular,jan,29,94,1,205,2,failure
27,student,single,tertiary,no,no,no,cellular,nov,12,192,2,92,2,failure
49,management,single,secondary,no,yes,no,cellular,jan,29,185,2,246,1,failure
37,technician,married,tertiary,no,yes,no,cellular,nov,17,77,1,-1,0,unknown
31,blue-collar,married,secondary,no,yes,no,cellular,may,6,142,3,-1,0,unknown
31,technician,single,secondary,yes,no,no,cellular,feb,2,381,1,-1,0,unknown
31,blue-collar,married,secondary,no,yes,yes,cellular,nov,17,222,2,-1,0,unknown
35,blue-collar,married,primary,no,yes,no,cellular,apr,17,106,1,-1,0,unknown
51,blue-collar,divorced,unknown,no,yes,no,unknown,may,29,117,1,-1,0,unknown
33,technician,single,secondary,no,no,no,cellular,aug,7,67,3,-1,0,unknown
30,technician,single,tertiary,no,yes,no,cellular,may,6,45,2,169,2,failure
58,technician,single,secondary,no,no,yes,cellular,jul,14,643,2,-1,0,unknown
34,admin.,married,tertiary,no,yes,no,cellular,oct,15,76,1,69,2,failure
45,management,married,tertiary,no,no,no,cellular,aug,21,508,6,-1,0,unknown
28,services,single,secondary,no,no,no,cellular,jul,5,128,2,-1,0,unknown
31,blue-collar,married,primary,no,yes,no,cellular,apr,17,193,2,322,1,other
40,management,married,tertiary,no,no,no,unknown,jun,16,172,6,-1,0,unknown
30,services,single,secondary,no,no,no,cellular,feb,2,142,2,-1,0,unknown
34,entrepreneur,married,secondary,no,yes,yes,unknown,may,27,492,2,-1,0,unknown
40,blue-collar,married,secondary,no,no,yes,unknown,jun,12,140,1,-1,0,unknown
59,retired,married,primary,no,no,no,unknown,jun,18,140,2,-1,0,unknown
43,technician,single,tertiary,no,yes,no,unknown,may,19,257,2,-1,0,unknown
41,management,married,tertiary,no,no,no,cellular,jan,29,41,2,266,2,failure
33,technician,divorced,secondary,no,no,no,cellular,aug,21,91,2,-1,0,unknown
33,management,married,secondary,no,yes,no,cellular,apr,20,132,2,-1,0,unknown
36,blue-collar,married,secondary,no,no,no,unknown,jun,3,284,1,-1,0,unknown
32,self-employed,single,secondary,no,no,no,cellular,jul,25,184,2,-1,0,unknown
25,admin.,married,secondary,no,yes,no,cellular,jul,18,225,1,-1,0,unknown
25,blue-collar,married,secondary,no,yes,no,unknown,may,12,241,3,-1,0,unknown
38,technician,single,tertiary,no,no,no,cellular,aug,20,79,3,-1,0,unknown
34,management,married,tertiary,no,yes,no,cellular,apr,22,156,1,-1,0,unknown
67,blue-collar,married,secondary,no,no,no,cellular,oct,27,223,2,-1,0,unknown
32,blue-collar,married,secondary,no,yes,no,unknown,may,30,198,1,-1,0,unknown
45,housemaid,married,primary,no,no,no,cellular,aug,13,536,2,-1,0,unknown
33,blue-collar,married,primary,no,yes,no,unknown,may,21,304,2,-1,0,unknown
38,admin.,married,primary,no,yes,no,cellular,apr,20,196,2,315,2,failure
32,technician,divorced,secondary,no,yes,no,unknown,may,12,298,2,-1,0,unknown
54,retired,divorced,tertiary,no,yes,yes,unknown,may,21,86,6,-1,0,unknown
51,admin.,divorced,secondary,no,yes,no,unknown,may,8,186,1,-1,0,unknown
42,blue-collar,married,primary,no,yes,no,cellular,jul,22,167,3,-1,0,unknown
41,admin.,married,secondary,no,yes,no,cellular,jul,22,24,12,-1,0,unknown
39,management,divorced,tertiary,no,no,yes,cellular,aug,18,74,3,-1,0,unknown
38,blue-collar,married,secondary,no,yes,no,unknown,jun,11,601,1,-1,0,unknown
39,management,married,secondary,no,yes,no,unknown,may,27,1168,2,-1,0,unknown
46,blue-collar,married,primary,no,no,no,cellular,apr,20,277,2,-1,0,unknown
50,entrepreneur,divorced,tertiary,no,no,yes,cellular,feb,6,748,3,-1,0,unknown
33,blue-collar,married,secondary,no,yes,no,unknown,may,19,364,1,-1,0,unknown
37,technician,married,secondary,no,yes,no,unknown,may,19,229,3,-1,0,unknown
31,management,married,tertiary,no,no,no,cellular,aug,29,43,13,-1,0,unknown
34,blue-collar,divorced,unknown,no,no,no,cellular,jun,15,177,1,-1,0,unknown
34,management,married,tertiary,no,yes,no,cellular,aug,7,262,1,99,2,success
36,management,married,tertiary,no,yes,no,cellular,may,6,317,1,169,2,failure
40,technician,married,secondary,no,no,no,unknown,jun,20,402,22,-1,0,unknown
40,blue-collar,married,secondary,no,no,no,cellular,jun,1,314,1,-1,0,unknown
41,technician,married,secondary,no,no,no,cellular,feb,11,109,3,-1,0,unknown
52,management,married,tertiary,no,no,no,cellular,aug,25,56,6,-1,0,unknown
40,services,single,secondary,no,yes,no,unknown,may,12,169,2,-1,0,unknown
48,blue-collar,single,unknown,no,yes,no,cellular,may,18,127,1,-1,0,unknown
33,management,divorced,secondary,no,no,no,cellular,aug,20,175,3,-1,0,unknown
44,technician,divorced,secondary,no,no,no,cellular,aug,12,56,2,-1,0,unknown
55,management,married,tertiary,no,no,yes,cellular,jul,8,123,1,-1,0,unknown
51,admin.,married,secondary,no,no,no,telephone,jan,28,148,2,-1,0,unknown
34,management,single,tertiary,no,no,no,cellular,feb,5,231,1,-1,0,unknown
58,retired,divorced,unknown,no,yes,no,cellular,jul,23,255,1,-1,0,unknown
39,management,single,tertiary,no,yes,no,cellular,aug,27,37,3,-1,0,unknown
27,unemployed,single,secondary,no,no,no,cellular,aug,5,106,1,110,2,other
55,management,divorced,unknown,no,yes,no,unknown,may,19,95,1,-1,0,unknown
35,technician,single,secondary,no,no,no,unknown,jul,2,134,2,-1,0,unknown
37,technician,single,tertiary,no,yes,no,cellular,apr,9,820,2,-1,0,unknown
52,technician,married,secondary,no,yes,yes,cellular,feb,24,116,1,273,3,failure
41,blue-collar,married,secondary,no,yes,no,cellular,may,12,463,1,-1,0,unknown
52,admin.,married,secondary,no,no,yes,cellular,aug,12,603,3,-1,0,unknown
34,blue-collar,single,secondary,no,yes,no,unknown,may,27,47,5,-1,0,unknown
53,management,divorced,primary,no,no,no,cellular,nov,19,126,1,-1,0,unknown
33,management,single,tertiary,no,no,no,cellular,jun,29,421,2,-1,0,unknown
47,self-employed,married,secondary,no,no,no,unknown,jun,26,174,8,-1,0,unknown
35,blue-collar,married,secondary,no,yes,yes,cellular,jan,30,144,1,266,2,failure
33,management,single,tertiary,no,no,no,cellular,aug,8,191,2,-1,0,unknown
55,blue-collar,married,primary,no,no,no,telephone,apr,21,222,1,-1,0,unknown
58,self-employed,married,primary,no,yes,no,cellular,aug,11,206,1,461,1,failure
44,admin.,married,secondary,no,yes,no,cellular,jul,9,74,1,-1,0,unknown
25,services,single,secondary,no,yes,no,unknown,may,28,24,1,-1,0,unknown
37,technician,single,secondary,no,yes,no,cellular,may,6,7,11,351,1,failure
41,blue-collar,married,primary,no,yes,no,cellular,may,15,493,7,-1,0,unknown
34,blue-collar,single,secondary,no,no,no,cellular,mar,3,350,3,-1,0,unknown
36,services,divorced,secondary,no,no,no,unknown,jun,6,250,3,-1,0,unknown
44,self-employed,married,tertiary,no,no,no,cellular,aug,28,86,4,-1,0,unknown
34,entrepreneur,divorced,tertiary,no,no,no,cellular,nov,20,371,1,-1,0,unknown
56,blue-collar,divorced,primary,no,no,no,unknown,jun,9,419,2,-1,0,unknown
43,management,divorced,tertiary,no,yes,no,unknown,may,8,2087,2,-1,0,unknown
28,blue-collar,single,secondary,no,yes,no,cellular,may,15,22,4,-1,0,unknown
54,blue-collar,married,secondary,no,yes,no,unknown,may,5,266,1,-1,0,unknown
37,technician,divorced,secondary,no,no,no,cellular,jul,21,191,1,-1,0,unknown
59,self-employed,married,tertiary,no,no,no,cellular,feb,19,222,4,94,2,success
58,blue-collar,divorced,secondary,no,no,yes,telephone,jul,17,264,3,-1,0,unknown
56,management,divorced,tertiary,no,yes,no,unknown,jun,9,184,5,-1,0,unknown
32,blue-collar,single,secondary,no,no,yes,cellular,may,28,95,3,-1,0,unknown
42,management,single,tertiary,no,no,no,cellular,aug,13,127,2,-1,0,unknown
52,retired,divorced,primary,no,no,no,cellular,jul,31,395,4,-1,0,unknown
46,management,married,tertiary,no,yes,no,cellular,apr,8,174,1,-1,0,unknown
37,admin.,married,tertiary,no,yes,no,cellular,apr,27,124,1,-1,0,unknown
39,blue-collar,married,primary,no,yes,no,unknown,may,26,102,2,-1,0,unknown
31,admin.,married,secondary,no,yes,no,cellular,apr,17,279,1,-1,0,unknown
59,housemaid,married,primary,no,no,no,cellular,aug,27,76,11,-1,0,unknown
38,blue-collar,married,secondary,no,yes,no,cellular,may,11,472,2,-1,0,unknown
58,management,married,secondary,no,no,no,cellular,aug,18,84,11,-1,0,unknown
34,management,single,tertiary,no,yes,yes,cellular,nov,20,271,1,184,1,failure
40,services,married,secondary,no,yes,no,unknown,may,26,754,1,-1,0,unknown
20,student,single,secondary,no,no,no,telephone,may,11,172,5,371,5,failure
34,technician,married,secondary,no,yes,yes,cellular,apr,8,375,2,-1,0,unknown
31,technician,single,tertiary,no,yes,no,cellular,aug,12,130,2,-1,0,unknown
39,admin.,single,secondary,no,yes,no,unknown,may,12,303,3,-1,0,unknown
34,entrepreneur,married,tertiary,no,yes,no,unknown,may,16,261,1,-1,0,unknown
24,blue-collar,married,secondary,no,yes,yes,cellular,apr,17,229,3,-1,0,unknown
41,management,married,tertiary,no,yes,no,cellular,jun,1,288,1,-1,0,unknown
40,management,married,tertiary,no,yes,no,cellular,nov,18,219,3,-1,0,unknown
45,technician,single,secondary,no,yes,no,unknown,may,30,891,4,-1,0,unknown
36,management,married,tertiary,no,yes,no,unknown,may,26,204,1,-1,0,unknown
53,management,married,tertiary,no,no,no,unknown,jun,20,19,6,-1,0,unknown
23,student,single,secondary,no,no,no,cellular,aug,25,158,2,-1,0,unknown
42,entrepreneur,married,primary,no,yes,no,unknown,may,8,314,1,-1,0,unknown
48,blue-collar,married,secondary,no,yes,no,unknown,may,19,215,1,-1,0,unknown
34,management,married,tertiary,no,no,no,cellular,aug,25,169,4,-1,0,unknown
36,admin.,married,secondary,no,yes,no,cellular,jul,31,101,4,-1,0,unknown
43,retired,married,secondary,no,yes,no,unknown,may,20,15,13,-1,0,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,may,21,260,5,-1,0,unknown
49,blue-collar,married,secondary,no,yes,no,cellular,may,14,558,1,-1,0,unknown
55,retired,married,secondary,no,no,no,unknown,jun,17,287,4,-1,0,unknown
53,retired,married,secondary,no,yes,no,cellular,apr,22,371,2,-1,0,unknown
42,technician,married,secondary,no,yes,no,cellular,aug,11,149,1,78,5,failure
45,admin.,married,secondary,no,yes,yes,unknown,oct,21,187,1,-1,0,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,may,21,32,1,-1,0,unknown
32,admin.,married,tertiary,no,yes,no,unknown,may,5,138,1,-1,0,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,jun,17,228,2,-1,0,unknown
56,retired,married,secondary,no,no,no,telephone,jul,3,353,2,-1,0,unknown
46,admin.,married,secondary,no,yes,no,unknown,may,8,45,2,-1,0,unknown
41,housemaid,single,secondary,no,no,no,cellular,jul,9,76,2,-1,0,unknown
31,admin.,married,secondary,no,yes,yes,unknown,may,6,144,2,-1,0,unknown
32,technician,married,secondary,no,yes,no,cellular,aug,19,168,2,-1,0,unknown
38,management,married,tertiary,no,yes,no,cellular,jan,30,140,1,2,3,other
49,retired,single,primary,no,no,no,unknown,jun,17,94,1,-1,0,unknown
46,management,single,primary,no,no,no,unknown,jun,17,118,3,-1,0,unknown
29,technician,single,secondary,no,yes,no,cellular,may,18,382,1,-1,0,unknown
36,admin.,married,unknown,no,no,no,cellular,nov,19,111,1,-1,0,unknown
38,admin.,married,secondary,no,yes,no,cellular,may,15,298,2,-1,0,unknown
53,technician,married,secondary,no,yes,no,unknown,may,30,121,1,-1,0,unknown
43,management,married,tertiary,no,yes,no,unknown,may,15,317,7,-1,0,unknown
41,management,married,tertiary,no,yes,yes,unknown,may,5,42,1,-1,0,unknown
42,management,single,secondary,no,no,no,cellular,aug,5,81,2,-1,0,unknown
55,blue-collar,divorced,secondary,no,yes,no,cellular,apr,3,296,1,270,3,failure
39,admin.,divorced,secondary,no,yes,yes,telephone,jul,25,259,2,-1,0,unknown
30,admin.,single,secondary,no,yes,no,cellular,aug,6,121,6,112,3,other
41,blue-collar,married,secondary,no,yes,no,cellular,may,15,432,3,-1,0,unknown
44,unemployed,married,tertiary,no,no,no,cellular,aug,8,126,2,-1,0,unknown
58,management,married,tertiary,no,no,no,cellular,jul,16,120,4,-1,0,unknown
35,retired,married,primary,no,yes,no,cellular,jan,29,136,1,-1,0,unknown
27,blue-collar,married,secondary,no,yes,no,cellular,apr,17,1130,3,-1,0,unknown
34,services,married,secondary,no,no,no,cellular,dec,17,330,2,127,3,success
25,services,married,secondary,no,yes,no,cellular,jul,23,305,2,-1,0,unknown
36,blue-collar,married,secondary,no,no,no,unknown,jun,20,332,3,-1,0,unknown
38,blue-collar,married,secondary,no,yes,no,unknown,may,9,412,1,-1,0,unknown
30,admin.,married,secondary,no,yes,no,cellular,may,11,157,1,-1,0,unknown
47,blue-collar,divorced,secondary,yes,yes,no,cellular,jul,30,71,2,-1,0,unknown
41,services,divorced,secondary,no,yes,no,cellular,may,8,297,2,-1,0,unknown
36,management,single,tertiary,no,no,no,cellular,nov,18,307,1,-1,0,unknown
63,entrepreneur,married,secondary,no,no,no,telephone,aug,4,250,2,187,2,success
23,management,single,tertiary,no,yes,no,cellular,apr,30,119,1,-1,0,unknown
32,management,married,tertiary,no,no,no,cellular,aug,7,116,2,-1,0,unknown
57,retired,married,primary,no,no,no,telephone,jul,7,274,1,-1,0,unknown
48,management,married,tertiary,no,no,no,cellular,aug,5,389,1,64,2,success
49,services,married,secondary,no,no,no,cellular,aug,4,143,1,-1,0,unknown
50,technician,married,secondary,no,yes,yes,unknown,may,28,860,2,-1,0,unknown
33,blue-collar,married,primary,no,yes,no,unknown,may,21,420,2,-1,0,unknown
53,services,divorced,secondary,no,yes,no,unknown,may,28,213,1,-1,0,unknown
30,unemployed,married,tertiary,no,yes,no,cellular,nov,18,756,1,-1,0,unknown
38,technician,married,secondary,no,no,no,cellular,aug,7,259,3,-1,0,unknown
44,management,married,secondary,no,yes,no,cellular,jul,23,201,16,-1,0,unknown
39,admin.,single,secondary,no,yes,yes,unknown,may,13,19,9,-1,0,unknown
45,technician,single,unknown,no,yes,yes,cellular,nov,18,53,1,172,3,failure
36,blue-collar,married,secondary,no,yes,no,cellular,may,14,224,4,-1,0,unknown
38,blue-collar,married,secondary,no,yes,no,cellular,may,13,57,5,349,1,other
36,housemaid,married,secondary,no,yes,no,unknown,may,30,251,1,-1,0,unknown
30,management,single,tertiary,no,yes,no,cellular,apr,16,39,1,342,3,failure
28,technician,divorced,tertiary,no,yes,yes,unknown,jun,18,54,3,-1,0,unknown
26,unemployed,married,tertiary,no,yes,yes,unknown,may,23,28,18,-1,0,unknown
54,unknown,married,secondary,no,no,no,cellular,nov,12,104,1,99,2,other
38,admin.,married,tertiary,no,no,no,cellular,mar,27,164,2,130,2,failure
32,technician,single,tertiary,no,no,no,cellular,aug,7,268,2,-1,0,unknown
50,admin.,divorced,secondary,no,no,yes,cellular,nov,17,148,1,-1,0,unknown
43,blue-collar,married,secondary,no,yes,no,unknown,may,7,228,3,-1,0,unknown
48,admin.,married,secondary,no,no,no,cellular,aug,18,139,5,-1,0,unknown
57,housemaid,married,primary,no,no,no,cellular,aug,18,89,3,-1,0,unknown
64,housemaid,married,primary,no,no,no,cellular,jul,15,250,2,182,1,success
26,services,divorced,secondary,no,yes,no,unknown,may,23,106,6,-1,0,unknown
33,blue-collar,married,secondary,no,yes,no,cellular,jul,18,968,1,-1,0,unknown
50,self-employed,married,secondary,no,no,yes,cellular,aug,6,168,3,-1,0,unknown
47,self-employed,married,tertiary,no,no,no,cellular,jul,24,408,14,-1,0,unknown
39,management,single,tertiary,no,no,no,cellular,oct,23,56,4,-1,0,unknown
52,services,married,primary,no,no,yes,cellular,jul,28,55,5,-1,0,unknown
31,blue-collar,single,primary,no,yes,no,unknown,may,29,76,4,-1,0,unknown
50,blue-collar,married,primary,no,no,no,cellular,aug,11,72,5,-1,0,unknown
47,technician,married,secondary,no,yes,no,cellular,aug,13,99,3,-1,0,unknown
30,management,single,tertiary,no,yes,no,cellular,aug,27,13,15,-1,0,unknown
32,technician,single,tertiary,no,no,no,cellular,apr,14,178,1,-1,0,unknown
36,technician,married,secondary,no,no,no,unknown,jun,9,287,1,-1,0,unknown
46,technician,married,tertiary,no,yes,no,cellular,may,14,141,1,346,2,other
45,management,divorced,tertiary,no,no,no,cellular,nov,21,127,1,100,2,failure
37,technician,single,secondary,no,no,no,cellular,aug,4,69,2,-1,0,unknown
58,housemaid,married,primary,no,yes,no,unknown,jun,4,763,4,-1,0,unknown
59,management,married,tertiary,no,no,no,cellular,feb,17,122,1,92,1,failure
28,management,married,tertiary,no,yes,no,cellular,may,18,143,1,-1,0,unknown
48,management,married,tertiary,no,yes,no,cellular,feb,2,316,3,-1,0,unknown
55,blue-collar,married,unknown,no,no,no,telephone,jul,30,89,2,-1,0,unknown
37,blue-collar,single,primary,no,yes,no,cellular,may,15,151,1,352,1,failure
41,management,married,tertiary,no,no,no,cellular,nov,19,40,1,-1,0,unknown
35,blue-collar,married,secondary,no,no,yes,unknown,oct,4,5,1,808,12,failure
34,blue-collar,single,secondary,no,yes,no,cellular,jul,18,90,1,-1,0,unknown
43,management,single,tertiary,no,no,no,cellular,nov,21,50,1,113,5,other
59,technician,married,secondary,no,no,no,cellular,apr,15,159,2,378,3,failure
50,blue-collar,divorced,primary,no,no,yes,cellular,jul,10,369,6,-1,0,unknown
37,technician,married,secondary,no,no,no,cellular,oct,22,344,2,182,8,other
35,technician,married,secondary,no,yes,no,cellular,sep,4,256,2,94,1,failure
50,technician,single,secondary,no,no,no,cellular,oct,26,298,1,-1,0,unknown
36,technician,divorced,secondary,no,no,yes,cellular,aug,11,268,3,-1,0,unknown
41,admin.,married,secondary,no,yes,no,cellular,apr,13,231,1,-1,0,unknown
28,management,married,tertiary,no,yes,no,unknown,may,27,4,4,-1,0,unknown
42,technician,single,tertiary,no,yes,no,cellular,may,12,78,5,292,3,failure
60,retired,married,secondary,no,no,no,unknown,jun,5,419,1,-1,0,unknown
28,management,single,tertiary,no,yes,no,telephone,may,13,421,3,-1,0,unknown
48,entrepreneur,married,secondary,no,no,yes,cellular,jul,10,105,1,-1,0,unknown
51,entrepreneur,married,tertiary,no,no,no,unknown,jun,6,42,1,-1,0,unknown
